,order_id,order_value,promo_type
128,88988377,25,no_promo
129,89042639,28,no_promo
130,89059937,29,no_promo
131,89063014,24,no_promo
132,89035117,38,no_promo
133,89072607,30,no_promo
134,89052283,31,SALE15
135,89059536,41,no_promo
136,89024229,20,no_promo
137,88985546,31,no_promo
138,88981980,27,no_promo
139,89018008,15,no_promo
140,89001990,36,SALE15
141,89056834,24,no_promo
142,89038267,32,no_promo
143,88991146,27,no_promo
144,89039682,25,no_promo
145,89024316,23,no_promo
146,88992842,33,no_promo
147,89002878,27,no_promo
148,89062162,30,no_promo
149,88984202,41,no_promo
150,89033097,36,no_promo
151,89037240,31,no_promo
152,89013922,24,no_promo
153,88991429,29,no_promo
154,89068867,31,no_promo
155,89017598,24,no_promo
156,89041558,19,no_promo
157,88990530,25,no_promo
158,89025159,25,no_promo
159,89048714,28,no_promo
160,89027372,29,no_promo
161,89026116,29,no_promo
162,88998010,24,no_promo
163,89020683,16,no_promo
164,89062408,32,SALE15
165,89027129,25,no_promo
166,89033835,14,no_promo
167,89005538,30,no_promo
168,89044433,27,no_promo
169,89054162,29,no_promo
170,89033521,31,no_promo
171,89021208,26,no_promo
172,89026813,23,no_promo
173,89042275,34,SALE15
174,89019543,33,no_promo
175,88994357,17,no_promo
176,88985510,30,no_promo
177,89029064,14,no_promo
178,88980635,27,no_promo
179,89070222,34,no_promo
180,89059515,39,no_promo
181,89020346,20,no_promo
182,88982622,36,no_promo
183,89074516,39,no_promo
184,89072527,44,no_promo
185,89074636,30,SALE15
186,89055761,30,no_promo
187,89035483,10,no_promo
188,89025210,21,no_promo
189,89059982,39,no_promo
190,89016165,17,no_promo
191,89034609,43,no_promo
192,88978336,22,no_promo
193,89037349,35,no_promo
194,89010382,50,no_promo
195,89037532,21,no_promo
196,89071253,13,no_promo
197,89035972,39,no_promo
198,89069173,27,no_promo
199,89035293,35,no_promo
200,89076063,35,no_promo
201,88990048,37,SALE15
202,89029944,39,no_promo
203,88995569,39,no_promo
204,88998145,40,no_promo
205,89010819,29,no_promo
206,89030503,29,SALE15
207,89049069,32,no_promo
208,88998192,42,SALE15
209,89074660,26,no_promo
210,89023937,22,no_promo
211,89036242,19,SALE15
212,89051387,20,SALE15
213,89030914,34,SALE15
214,89019457,30,no_promo
215,89052797,34,no_promo
216,88996921,23,no_promo
217,88993917,32,no_promo
218,89033684,34,no_promo
219,89014723,28,no_promo
220,88995310,29,SALE15
221,89014825,37,no_promo
222,89007618,13,no_promo
223,88999398,35,no_promo
224,88987220,38,no_promo
225,89009554,18,no_promo
226,89006016,25,no_promo
227,89013799,41,no_promo
228,89066634,23,no_promo
229,89068622,28,no_promo
230,88990017,29,no_promo
231,89059093,37,no_promo
232,89022381,33,no_promo
233,88985671,17,no_promo
234,89055241,18,no_promo
235,89074951,33,no_promo
236,89069099,21,no_promo
237,89037229,30,no_promo
238,89036530,24,no_promo
239,89008401,38,no_promo
240,89031197,7,SALE15
241,88982357,32,no_promo
242,88999529,36,SALE15
243,89008602,30,no_promo
244,88996989,10,no_promo
245,89011902,32,no_promo
246,89021479,30,no_promo
247,89049285,31,no_promo
248,89071369,29,no_promo
249,89002249,24,no_promo
250,88983920,29,SALE15
251,88991809,30,no_promo
252,89002821,27,no_promo
253,89010601,27,no_promo
254,89071244,29,no_promo
255,88986049,29,no_promo
256,89021947,45,no_promo
257,89016556,26,no_promo
258,89060922,7,SALE15
259,89055697,34,no_promo
260,89045921,16,no_promo
261,88996240,23,no_promo
262,89012953,26,no_promo
263,89034031,39,no_promo
264,89049664,28,no_promo
265,88978422,32,no_promo
266,89036828,17,no_promo
267,89014409,20,no_promo
268,89053727,37,no_promo
269,89049504,32,no_promo
270,89065923,29,no_promo
271,89000315,34,SALE15
272,88978065,32,no_promo
273,88988568,29,no_promo
274,89073804,21,no_promo
275,89001163,34,no_promo
276,89063132,26,no_promo
277,88991684,33,no_promo
278,88996369,15,no_promo
279,89017836,30,no_promo
280,88995901,37,no_promo
281,89003015,26,SALE15
282,89014426,34,no_promo
283,89075027,28,no_promo
284,89008162,28,no_promo
285,89010838,45,no_promo
286,89063208,49,no_promo
287,89024427,38,no_promo
288,89032265,23,no_promo
289,89019241,36,no_promo
290,89042334,28,no_promo
291,89003333,37,no_promo
292,89037241,30,no_promo
293,88994271,26,no_promo
294,89030612,31,no_promo
295,89005459,30,no_promo
296,89046126,29,no_promo
297,89052855,25,no_promo
298,89034175,17,SALE15
299,89061762,31,no_promo
300,89046720,34,no_promo
301,89035502,32,no_promo
302,89060928,28,no_promo
303,88989653,21,no_promo
304,89009813,33,SALE15
305,89031621,27,SALE15
306,89040848,24,no_promo
307,89024158,26,no_promo
308,89000968,33,no_promo
309,89051451,30,no_promo
310,88980952,33,no_promo
311,88994660,23,no_promo
312,89041987,34,no_promo
313,89034495,31,no_promo
314,89004663,36,no_promo
315,89036585,25,no_promo
316,89038270,32,no_promo
317,89074439,21,SALE15
318,89050264,34,no_promo
319,89035382,31,no_promo
320,89002602,24,no_promo
321,89062653,28,no_promo
322,89038832,20,no_promo
323,89004059,22,SALE15
324,89016114,17,no_promo
325,89059133,32,no_promo
326,89009519,34,no_promo
327,88984210,23,no_promo
328,88992570,42,no_promo
329,89030516,26,no_promo
330,89077240,13,no_promo
331,89000602,40,no_promo
332,89003910,24,no_promo
333,89039665,39,no_promo
334,89042876,38,no_promo
335,89002414,27,no_promo
336,89071913,28,no_promo
337,89063513,43,no_promo
338,89004680,33,SALE15
339,88999938,29,no_promo
340,89024648,33,no_promo
341,89010228,56,no_promo
342,89012481,41,no_promo
343,88991938,16,no_promo
344,89015032,16,no_promo
345,89034515,27,no_promo
346,88993819,37,no_promo
347,89072098,35,SALE15
348,89037631,36,no_promo
349,88989767,24,no_promo
350,88996390,22,no_promo
351,88987911,38,SALE15
352,88987776,24,no_promo
353,89045479,39,no_promo
354,89038382,22,no_promo
355,89026227,40,no_promo
356,89008936,26,no_promo
357,89048666,19,no_promo
358,89050457,18,SALE15
359,89061257,22,no_promo
360,89034855,30,no_promo
361,89004675,45,no_promo
362,89014455,18,no_promo
363,89066585,33,no_promo
364,88980626,30,no_promo
365,89002583,24,no_promo
366,89077096,46,no_promo
367,88982628,23,no_promo
368,88996963,43,SALE15
369,89040580,24,no_promo
370,88994208,38,no_promo
371,89016426,31,no_promo
372,89020301,32,no_promo
373,89037246,32,no_promo
374,88990038,48,no_promo
375,88996678,24,no_promo
376,89024078,30,no_promo
377,89026732,23,no_promo
378,88986822,33,no_promo
379,88986596,22,no_promo
380,89027477,37,no_promo
381,88982207,42,no_promo
382,89063343,25,SALE15
383,89072317,29,no_promo
384,89018748,23,no_promo
385,89061916,36,no_promo
386,89001967,22,no_promo
387,89034629,19,no_promo
388,88979913,13,SALE15
389,89011397,49,no_promo
390,89048959,36,SALE15
391,89049993,34,no_promo
392,88993663,33,no_promo
393,88981504,36,no_promo
394,89038284,37,no_promo
395,88985711,26,SALE15
396,89007456,26,no_promo
397,89029076,21,no_promo
398,89039534,28,no_promo
399,89070680,27,no_promo
400,89073808,35,no_promo
401,89067802,31,SALE15
402,89006831,33,no_promo
403,89066866,27,no_promo
404,89054386,32,no_promo
405,89000912,24,SALE15
406,89024306,26,no_promo
407,89024895,33,no_promo
408,89026417,25,no_promo
409,89022855,38,no_promo
410,89067847,31,no_promo
411,89015245,41,no_promo
412,88993182,23,no_promo
413,89041108,16,no_promo
414,89071328,33,no_promo
415,89007067,31,no_promo
416,89016962,40,no_promo
417,89058168,22,SALE15
418,88980677,39,no_promo
419,89049999,31,no_promo
420,89076145,34,no_promo
421,89032556,25,no_promo
422,89033559,35,no_promo
423,89013192,33,SALE15
424,89014476,36,no_promo
425,89037421,22,no_promo
426,89053850,21,SALE15
427,89014903,36,no_promo
428,88996180,30,no_promo
429,88986151,25,no_promo
430,89055719,30,no_promo
431,89053272,34,no_promo
432,88987369,28,no_promo
433,88996675,31,no_promo
434,88985994,27,no_promo
435,89073440,32,no_promo
436,89038122,21,SALE15
437,89012792,39,no_promo
438,89031329,50,SALE15
439,89063713,23,no_promo
440,89016027,34,no_promo
441,89021523,37,no_promo
442,89030021,35,no_promo
443,89062024,40,no_promo
444,89057748,23,no_promo
445,89069498,40,no_promo
446,89035111,46,SALE15
447,89003961,40,no_promo
448,88978523,37,no_promo
449,89021338,33,no_promo
450,89035917,20,no_promo
451,89002231,37,no_promo
452,88997682,23,no_promo
453,88988938,21,no_promo
454,89039844,26,no_promo
455,89047432,34,SALE15
456,89017834,20,no_promo
457,88977951,37,no_promo
458,89022588,29,no_promo
459,89019550,26,no_promo
460,89043660,43,no_promo
461,89076071,37,no_promo
462,89058392,26,SALE15
463,89029883,21,no_promo
464,89052520,24,no_promo
465,89010837,21,no_promo
466,89075900,35,no_promo
467,88984434,19,no_promo
468,88988757,19,no_promo
469,89044052,51,no_promo
470,89030290,20,no_promo
471,89046543,34,no_promo
472,88997177,26,no_promo
473,89030815,43,no_promo
474,89066304,33,SALE15
475,89068976,22,no_promo
476,89064302,27,no_promo
477,89029210,22,no_promo
478,89032070,28,no_promo
479,89034232,30,no_promo
480,89074593,33,no_promo
481,88993311,27,no_promo
482,89030658,26,no_promo
483,89052534,45,no_promo
484,89006078,24,no_promo
485,89001559,17,no_promo
486,89010608,17,SALE15
487,89041086,29,no_promo
488,89075347,13,no_promo
489,89021228,27,no_promo
490,88988839,30,no_promo
491,89054446,35,no_promo
492,89013979,19,SALE15
493,88992244,38,no_promo
494,89027852,33,no_promo
495,89024513,17,no_promo
496,89077054,29,no_promo
497,89002070,35,no_promo
498,88991043,30,SALE15
499,89051098,42,no_promo
500,89072223,18,no_promo
501,89034793,29,no_promo
502,89047030,21,no_promo
503,89016227,34,no_promo
504,89075083,28,no_promo
505,88978900,41,no_promo
506,89013670,24,no_promo
507,88979109,31,no_promo
508,89026600,20,no_promo
509,89017798,37,no_promo
510,88985979,12,no_promo
511,89036025,30,no_promo
512,89065195,34,no_promo
513,88986365,38,no_promo
514,89034682,25,no_promo
515,88988789,33,no_promo
516,89050186,35,no_promo
517,89066198,46,no_promo
518,88991641,24,no_promo
519,89016550,31,no_promo
520,89066272,31,no_promo
521,89029464,46,no_promo
522,89027634,30,no_promo
523,89012993,41,no_promo
524,89000849,20,no_promo
525,89030829,18,SALE15
526,89034196,24,no_promo
527,88977756,25,no_promo
528,89029642,16,no_promo
529,89016186,41,no_promo
530,89003821,29,no_promo
531,89001140,16,no_promo
532,89002269,43,no_promo
533,89004763,40,SALE15
534,89012285,26,no_promo
535,88984716,19,no_promo
536,89045016,32,no_promo
537,88984124,29,no_promo
538,89056923,36,no_promo
539,88988746,15,no_promo
540,89034967,20,SALE15
541,89024146,31,no_promo
542,88994404,16,no_promo
543,89000983,11,no_promo
544,89069734,21,no_promo
545,89029690,21,no_promo
546,89073238,14,no_promo
547,89024467,28,no_promo
548,89045104,31,no_promo
549,89060317,20,no_promo
550,89026255,24,no_promo
551,89014724,39,no_promo
552,89038088,46,no_promo
553,89011653,31,no_promo
554,89056718,6,no_promo
555,89027486,44,no_promo
556,89018150,31,SALE15
557,89001246,23,no_promo
558,88994813,35,no_promo
559,89019465,32,no_promo
560,89009841,30,no_promo
561,89025286,36,no_promo
562,89056187,34,no_promo
563,89046198,37,no_promo
564,88994725,29,no_promo
565,89032997,36,no_promo
566,89030222,26,no_promo
567,89037353,26,no_promo
568,89066441,21,no_promo
569,89014408,40,no_promo
570,88989379,24,no_promo
571,89054510,21,no_promo
572,89032004,33,no_promo
573,89045437,31,SALE15
574,88998339,32,no_promo
575,88989817,17,no_promo
576,89014037,33,no_promo
577,89043462,31,no_promo
578,89028931,29,no_promo
579,89017939,46,no_promo
580,89045100,46,no_promo
581,89017652,36,no_promo
582,88978944,36,no_promo
583,88989147,28,no_promo
584,89042291,16,no_promo
585,88997229,21,no_promo
586,89045010,38,no_promo
587,89025566,32,no_promo
588,89001962,16,no_promo
589,89038868,27,no_promo
590,89025796,21,no_promo
591,89031470,26,SALE15
592,89073941,30,no_promo
593,89069604,39,no_promo
594,89023504,35,no_promo
595,89046740,32,no_promo
596,88991867,41,no_promo
597,89074945,22,SALE15
598,88984681,40,no_promo
599,89072015,29,no_promo
600,89047242,23,no_promo
601,88981859,42,no_promo
602,89052882,27,no_promo
603,89004072,14,SALE15
604,88981684,32,no_promo
605,89012323,34,no_promo
606,88986594,36,no_promo
607,89039628,29,no_promo
608,89057774,36,no_promo
609,89039155,22,no_promo
610,89061352,40,no_promo
611,88985352,17,no_promo
612,89040275,34,no_promo
613,88992859,20,no_promo
614,88991024,22,SALE15
615,88995955,37,no_promo
616,89049008,26,no_promo
617,89025150,24,SALE15
618,89059398,31,no_promo
619,89005945,20,no_promo
620,89041423,19,no_promo
621,89017172,24,no_promo
622,89051324,31,no_promo
623,89029056,17,no_promo
624,89049671,26,no_promo
625,88987213,29,no_promo
626,88983802,19,no_promo
627,89027392,33,SALE15
628,89004614,26,no_promo
629,89070351,32,no_promo
630,89043256,28,SALE15
631,89051206,28,SALE15
632,89056067,42,no_promo
633,89051188,31,no_promo
634,88998756,48,SALE15
635,89039647,19,no_promo
636,89063717,37,no_promo
637,89054495,36,no_promo
638,89004494,37,no_promo
639,89055019,18,SALE15
640,88990732,19,no_promo
641,89022371,33,no_promo
642,88978828,37,SALE15
643,89038206,21,no_promo
644,89033228,29,no_promo
645,89057969,30,no_promo
646,89008719,27,no_promo
647,89001779,19,no_promo
648,89059036,36,no_promo
649,89028017,33,no_promo
650,88995378,36,SALE15
651,89053512,29,no_promo
652,89068400,28,no_promo
653,89037550,29,no_promo
654,89007016,23,no_promo
655,89051236,34,no_promo
656,89063638,20,no_promo
657,89015567,29,no_promo
658,89021310,34,no_promo
659,89021673,27,no_promo
660,88983772,34,no_promo
661,89071079,34,no_promo
662,89076996,34,no_promo
663,89066078,49,no_promo
664,89016890,29,no_promo
665,89072123,29,no_promo
666,88996803,31,no_promo
667,88992745,43,no_promo
668,88981668,39,no_promo
669,89034778,28,no_promo
670,89000682,44,no_promo
671,88983733,34,no_promo
672,89075147,18,no_promo
673,89062262,40,no_promo
674,89063160,20,no_promo
675,89048994,37,no_promo
676,89006678,32,no_promo
677,89029664,40,no_promo
678,89012050,22,no_promo
679,89011906,42,no_promo
680,89012318,38,no_promo
681,89040367,24,no_promo
682,89001851,22,no_promo
683,88999954,23,no_promo
684,89034431,19,no_promo
685,89043164,30,no_promo
686,89021991,31,no_promo
687,88988932,25,no_promo
688,88999806,37,no_promo
689,88985424,38,no_promo
690,89003460,18,no_promo
691,89008748,23,no_promo
692,88988384,11,SALE15
693,89012258,14,no_promo
694,88991282,30,no_promo
695,89077223,20,no_promo
696,89019324,37,no_promo
697,89003235,17,no_promo
698,88987053,27,no_promo
699,89076412,31,SALE15
700,89021951,17,SALE15
701,89048973,33,no_promo
702,89030616,32,no_promo
703,89063770,30,no_promo
704,89001130,30,no_promo
705,88977650,27,no_promo
706,89045813,27,no_promo
707,89049656,49,no_promo
708,89043649,28,no_promo
709,88993368,25,no_promo
710,89030288,44,SALE15
711,89051298,37,no_promo
712,89037955,45,no_promo
713,88997912,26,no_promo
714,89061710,35,no_promo
715,89025331,35,no_promo
716,88990648,25,no_promo
717,88994254,46,no_promo
718,89076811,43,no_promo
719,89070813,20,no_promo
720,89028987,29,no_promo
721,88998654,45,SALE15
722,88990976,49,no_promo
723,89055116,39,no_promo
724,89028863,25,no_promo
725,88984900,33,no_promo
726,89000486,38,no_promo
727,89060154,42,no_promo
728,89063972,26,no_promo
729,88991415,27,no_promo
730,89067919,30,no_promo
731,88993428,37,no_promo
732,89026688,53,SALE15
733,88992162,17,no_promo
734,89039044,43,SALE15
735,88994848,37,no_promo
736,89071355,37,no_promo
737,89048165,22,SALE15
738,88980011,17,no_promo
739,89063210,37,no_promo
740,89024143,23,SALE15
741,89000726,25,no_promo
742,89062405,47,no_promo
743,89059638,34,SALE15
744,89056064,33,no_promo
745,89050424,24,no_promo
746,88987896,28,no_promo
747,89052077,31,no_promo
748,89010197,40,no_promo
749,89033432,27,no_promo
750,89044651,30,no_promo
751,88994737,32,no_promo
752,88983606,37,no_promo
753,89040444,24,no_promo
754,89069487,25,no_promo
755,89048531,40,no_promo
756,88984269,34,no_promo
757,89073670,31,no_promo
758,88983734,35,SALE15
759,88991128,33,no_promo
760,88982788,19,no_promo
761,88978443,24,no_promo
762,88983832,30,no_promo
763,89020474,29,no_promo
764,89019258,21,SALE15
765,89071773,41,no_promo
766,88988923,37,no_promo
767,89056459,34,no_promo
768,89070909,30,no_promo
769,89057277,22,SALE15
770,89043078,23,no_promo
771,89071791,31,no_promo
772,89077570,35,no_promo
773,89066007,24,no_promo
774,89044626,41,no_promo
775,88996148,37,no_promo
776,89032434,33,no_promo
777,89046774,39,no_promo
778,89039431,39,no_promo
779,89033957,24,no_promo
780,89025897,39,no_promo
781,88986005,29,no_promo
782,89018396,24,no_promo
783,89011122,30,no_promo
784,89015608,30,no_promo
785,89019332,23,no_promo
786,89025632,42,no_promo
787,89075877,21,no_promo
788,89069103,28,no_promo
789,89017881,23,no_promo
790,89017328,38,no_promo
791,88990161,31,no_promo
792,89025224,28,no_promo
793,88999334,20,no_promo
794,89025979,29,no_promo
795,89046304,44,no_promo
796,89000080,27,SALE15
797,89021341,15,no_promo
798,89029671,41,no_promo
799,89022290,27,no_promo
800,89035114,35,no_promo
801,89059410,14,SALE15
802,89013417,35,no_promo
803,89010157,23,no_promo
804,89015627,41,no_promo
805,89037106,26,no_promo
806,89000531,20,no_promo
807,89073920,26,no_promo
808,88991608,27,no_promo
809,88995439,27,no_promo
810,89065106,25,no_promo
811,89019304,24,no_promo
812,88990653,21,no_promo
813,88977997,33,no_promo
814,89004779,25,no_promo
815,89024871,38,no_promo
816,89066785,31,no_promo
817,89038778,21,SALE15
818,89036279,40,no_promo
819,89005783,36,no_promo
820,89000482,24,no_promo
821,89075334,30,no_promo
822,89030408,49,no_promo
823,89053672,27,no_promo
824,89026765,23,no_promo
825,89048885,12,no_promo
826,89016870,28,no_promo
827,89011959,32,SALE15
828,88984392,20,no_promo
829,89055920,38,no_promo
830,89065020,38,no_promo
831,89035019,20,no_promo
832,89070225,35,no_promo
833,89027618,29,no_promo
834,89014413,35,no_promo
835,88979420,15,no_promo
836,89020052,42,no_promo
837,89053406,34,no_promo
838,89029575,26,no_promo
839,89015393,39,no_promo
840,88981999,41,no_promo
841,89058969,27,no_promo
842,89016158,29,no_promo
843,89046930,34,no_promo
844,89049798,24,no_promo
845,89046691,21,no_promo
846,89001512,27,no_promo
847,89040670,30,no_promo
848,88998802,24,no_promo
849,89034419,29,no_promo
850,89048826,41,no_promo
851,89051393,31,no_promo
852,89013678,33,no_promo
853,89046127,29,no_promo
854,89014702,35,no_promo
855,89055521,27,no_promo
856,89002595,16,no_promo
857,89045601,36,SALE15
858,88989738,32,no_promo
859,89012466,31,no_promo
860,89065104,32,no_promo
861,89041969,35,no_promo
862,89033487,16,no_promo
863,89016125,15,no_promo
864,89060438,26,no_promo
865,88989920,43,no_promo
866,89050639,30,no_promo
867,88993328,41,no_promo
868,89054052,37,no_promo
869,88986753,16,no_promo
870,89022809,34,no_promo
871,89037970,28,no_promo
872,89011224,45,SALE15
873,89020880,28,no_promo
874,89066988,28,no_promo
875,89060367,34,no_promo
876,89061470,21,no_promo
877,88989914,21,no_promo
878,89028707,25,no_promo
879,89012956,32,no_promo
880,88999072,35,no_promo
881,89003062,44,no_promo
882,89025005,38,no_promo
883,89066351,31,no_promo
884,89044944,27,no_promo
885,89063303,29,no_promo
886,89039992,32,no_promo
887,89015886,29,no_promo
888,89049394,39,no_promo
889,88986651,44,no_promo
890,89068830,29,no_promo
891,89004477,33,no_promo
892,89020718,16,SALE15
893,89064237,28,no_promo
894,88978198,35,no_promo
895,89002216,40,no_promo
896,89070948,41,no_promo
897,88981578,19,no_promo
898,89000401,10,SALE15
899,88990967,20,no_promo
900,89061640,24,no_promo
901,88980974,36,SALE15
902,89010499,34,no_promo
903,88999996,23,SALE15
904,89050512,36,no_promo
905,88998913,25,no_promo
906,89006922,27,no_promo
907,89017453,41,no_promo
908,89064680,52,no_promo
909,89062719,26,no_promo
910,88989996,27,no_promo
911,89017867,30,no_promo
912,88988161,30,no_promo
913,89050972,42,no_promo
914,89005510,37,no_promo
915,89033026,28,SALE15
916,89042173,25,no_promo
917,89047492,35,no_promo
918,89022987,28,SALE15
919,89070510,22,no_promo
920,89075556,45,no_promo
921,89046700,41,no_promo
922,89038665,23,no_promo
923,88999785,30,no_promo
924,88987511,33,SALE15
925,88988231,34,no_promo
926,89017643,32,no_promo
927,89035259,23,no_promo
928,88979908,27,no_promo
929,89054539,29,no_promo
930,89047125,26,no_promo
931,89046509,25,no_promo
932,89042624,27,no_promo
933,89019007,17,no_promo
934,89057901,34,no_promo
935,89055421,26,no_promo
936,88991270,26,no_promo
937,89013798,22,no_promo
938,89052229,32,no_promo
939,88985804,29,no_promo
940,89018006,17,no_promo
941,88982118,33,no_promo
942,88979972,37,no_promo
943,89053056,24,no_promo
944,89031461,29,no_promo
945,89030150,31,no_promo
946,89052138,33,SALE15
947,89041283,25,no_promo
948,89024619,33,no_promo
949,89021174,27,no_promo
950,89031548,46,no_promo
951,89054032,46,SALE15
952,89069699,17,no_promo
953,89076310,21,no_promo
954,89072480,20,SALE15
955,89041174,30,SALE15
956,89028366,23,no_promo
957,89023242,38,SALE15
958,89011324,15,no_promo
959,89061241,39,no_promo
960,89028972,36,no_promo
961,89067494,35,no_promo
962,89065107,32,no_promo
963,89017707,34,no_promo
964,88989423,24,SALE15
965,88979171,36,no_promo
966,89060490,31,SALE15
967,89043967,31,no_promo
968,89054903,38,no_promo
969,89077039,20,no_promo
970,89043794,46,no_promo
971,89073826,27,no_promo
972,89049074,34,no_promo
973,89056960,27,no_promo
974,88988009,30,no_promo
975,89054768,22,no_promo
976,89028927,25,no_promo
977,89073609,23,no_promo
978,89021368,30,no_promo
979,89011449,20,no_promo
980,88990494,35,no_promo
981,89029814,15,no_promo
982,89025347,25,no_promo
983,89016599,15,no_promo
984,89018893,37,no_promo
985,89055982,21,no_promo
986,88999167,31,no_promo
987,89047531,22,no_promo
988,89019053,42,no_promo
989,88991300,32,no_promo
990,89050153,32,no_promo
991,88999803,38,no_promo
992,88985097,23,no_promo
993,88998332,18,no_promo
994,89038681,24,no_promo
995,88980162,29,SALE15
996,89056519,32,no_promo
997,89015680,36,no_promo
998,89041432,35,no_promo
999,89076958,27,SALE15
1000,89052703,16,no_promo
1001,89046022,30,no_promo
1002,89069864,37,no_promo
1003,88986929,37,no_promo
1004,89048820,24,no_promo
1005,89074661,22,no_promo
1006,88992359,25,no_promo
1007,88999141,27,SALE15
1008,89076027,29,no_promo
1009,88985373,36,no_promo
1010,88988163,36,no_promo
1011,89020505,42,no_promo
1012,88982310,34,no_promo
1013,89063258,24,no_promo
1014,88998633,43,SALE15
1015,89009174,26,SALE15
1016,88992058,32,no_promo
1017,89056553,41,no_promo
1018,89033605,31,no_promo
1019,89068105,25,no_promo
1020,89016565,30,no_promo
1021,89000167,39,no_promo
1022,88980638,32,no_promo
1023,89001523,33,no_promo
1024,89006408,20,no_promo
1025,89039613,22,no_promo
1026,89017589,37,SALE15
1027,89069494,25,no_promo
1028,89013850,37,no_promo
1029,89053448,21,no_promo
1030,89028768,30,no_promo
1031,89005792,27,no_promo
1032,88998713,30,no_promo
1033,89013051,20,no_promo
1034,89029481,28,no_promo
1035,88988797,36,no_promo
1036,89025626,31,no_promo
1037,88989400,24,no_promo
1038,89039991,21,no_promo
1039,89065854,34,no_promo
1040,88997646,33,no_promo
1041,89071958,29,no_promo
1042,88978909,44,no_promo
1043,89053598,33,no_promo
1044,88997228,20,no_promo
1045,89076744,28,no_promo
1046,88984939,27,no_promo
1047,89064586,23,no_promo
1048,89061749,32,no_promo
1049,89055796,30,no_promo
1050,89056829,42,no_promo
1051,89047426,20,no_promo
1052,89010436,29,no_promo
1053,89059624,19,no_promo
1054,89010086,15,no_promo
1055,89033826,31,no_promo
1056,89067988,24,no_promo
1057,89065382,29,no_promo
1058,88977666,28,no_promo
1059,89031934,41,no_promo
1060,89047929,41,no_promo
1061,89073540,37,no_promo
1062,89043732,43,no_promo
1063,89033008,31,no_promo
1064,89060897,46,no_promo
1065,88994850,30,no_promo
1066,89038203,56,no_promo
1067,89055683,22,no_promo
1068,89068346,31,no_promo
